"","référence","date de la demande","année du dépôt","NOM","Adresse du demandeur","n°de l'adresse du chantier","adresse du chantier","section cadastrale","n° parcelle","surface du terrain en m²","nature des travaux envisagés","date de la décision autorisation","date de décision refus","Tél auteur du projet","Dates d'affichage             en mairie"
"1","AT","38716",2006,"Assistance Publique 
(Jean Verdier)
M POPOFF",,,"Quatorze  Juillet Avenue du",,,,,"38825",,,
"2","06B0001","38909",2006,"Assistance Publique 
(Jean Verdier)
M POPOFF",,,"Quatorze  Juillet Avenue du",,,,"Aménagement du planning familiale","39043",,,
"3","06B0002","39023",2007,"Assistance Publique 
(Jean Verdier)
M HOTTE",,,"Quatorze  Juillet Avenue du",,,,"Restructuration des services urgences Pédiatriques et zone de surveillance de courte durée","39105",,,
"4","07B0001","39293",2007,"SARL: BONDY Express",,"40126","Henri Barbusse (Avenue )",,,,"Aménagement surface commerciale","39364",,,
"5","07B0002","39293",2007,"Assistance Publique 
(Jean Verdier)
M HOTTE",,,"Quatorze  Juillet Avenue du",,,,"Réaménagement d'une zone de 100 m² pour l'acceuil des victimes","39364",,,
"6","07B0003","39307",2007,"Assistance Publique 
(Jean Verdier)
M HOTTE",,,"Quatorze  Juillet Avenue du",,,,"Réaménagement de la pharmacie de l'hopital","39364",,,
"7","08B0001","39521",2008,"CEC
M DESTRIBATS","28 Avenue de Flandres 75949 Paris  cedex 19","52","Galliéni (Avenue )",,,,"Aménagement surface commerciale + réserve supp dans la surface de vente","39618",,,
"8","08A0002","39524",2008,"DHAINAUT","25 Avenue Voltaire 93190 Livry Gargan","85/87","Carnot  (Avenue)","AK","153","1346 m²","Cabinet de Kiné","39595",,"M Dhainaut : 06-09-76-36-47",
"9","08A0003","39528",2008,"SAS MANUFACTURE DU PAIN","344 avenue de la Marne 59007 MARCQ EN BAROEUL","9","Carnot  (Avenue)","Q","5","4096m²","Aménagement d'une boulangerie","39625",,"Maître d'œuvre PANETUDE : 03-28-04-06-40
fax : 03-28-04-06-50",
"10","08A0004
(Annulé)","PC (14634)",2008,"CONSEIL GENERAL","Collège Henri Sellier","4","Cinq Ormes (rue des)","V","107","15864 m²",,,,,
"11","08B0005","39574",2008,"SOCIETE GENERALE","Immeuble Cœur Défense 75886 Paris 18","150","Roger Salengro (Rue)","AT","207","1046 m²","Aménagement intérieur d'un local commerciale "" banque""","39680",,"Architecte LORIMIER 
Tél :01-43-47-11-12
fax: 01-43-43-90-97",
"12","08B0006","39591",2008,"CG 93","Le Département 93 Hôtel du Département 93006 BOBIGNY Cedex","66 bis","Aulnay (route d')","B","189",,"extension du bureau des conseillers Principaux d 'Education","39680",,"Président du Conseil : 01-43-93-93-93:
fax: 01-43-93-79-50",
"13","08B0007","39625",2008,"RESTAURANT LE CHENE","M Bakir 137 Rue Louis Auguste Blanqui","73","Jules Guesde (Rue )","P","112-128",,"Restaurant","39734",,"Archi : 01-43-32-03-72",
"14","08B0008","39639",2008,"AFFLELOU","17 Avenue Henri Barbusse","17","Henri Barbusse (Avenue )","Q","5","4096 m²","Magasin d'Optique","39713",,"Maître d'œuvre : 05-53-03-80-00",
"15","08B0009","39664",2008,"LE VERGER DU CENTRE
M Ben Aoun","26 place Georges Lyssandre 
06-12-84-75-18","85","Jules Guesde (Rue )","P","112 à 128","60 m²","Fruits et légumes","39794",,"06-12-84-75-18",
"16","08B0010","0",2008,"KISSI VOYAGES
M BEDEIR","15 rue Neuve","79","Jules Guesde (Rue )","P","112 à 128",,"Agence de voyage","39738",,,
"17","08B0011","39679",2008,"ASSU 2000 : M NIVAULT","15 Rue d'Anton 94270 Le Kremlin Bicetre","73 à 85","Jules Guesde (Rue )","P","15",,"Agence Assurance 2000",,,"01-48-10-15-42",
"18","08B0012","39682",2008,"Société DISTRIBON : M GHOUZI","107-111 Avenue Galliéni","107-111","Galliéni (Avenue )","K","121.122","1417 m²","Aménagement intérieur d'un local commerciale ""LEADER PRICE""","39757",,"Maître d'œuvre BECAM 01-64-63-89-55",
"19","08B0013","39696",2008,"SARL EQUINOXE
M FRYDMAN David","296 Avenue Henri Barbusse 91210 Draveil","162","Galliéni (Avenue )","ON","17","1120 m²","Magasin de vêtements","39784",,"06-16-23-21-01",
"20","08B0014","39703",2008,"Caisse Primaire d'Assurance Maladie de Seine St Denis","195 Avenue Paul Vaillant Couturier 93014 Bobigny","4
9-11","Neuve (rue)
Henri Barbusse (avenue)","Q","5","4096 m²","Caisse Primaire d'Assurance Maladie de Seine St Denis",,,"M Albertini: 01-48-96-48-48",
"21","08B0015","39714",2008,"SARL EQUINOXE
M FRYDMAN David","296 Avenue Henri Barbusse 91210 Draveil","162","Galliéni (Avenue )","ON","17","1120 M²","extension d'un magasin de vêtements","39868",,"M. Eric PEGAZ BLANC
01-48-41-69-80",
"22","08B0016","39728",2008,"CORDONNERIE: M OZMERINOGLU","49 Rue de Bordeaux 95400 Arnouville les Gonesses","83","Jules Guesde (Rue )","P","112,113,118,120,123,124",,"Aménagement cordonnerie","39794",,,
"23","08B0017","39741",2008,"LE PRESSING : M BAYSAL Fetiye","211 Avenue Galliéni Bondy","77","Jules Guesde (Rue )","P","112 à 128",,"Aménagement pressing","39819",,"01-48-50-76-94",
"24","08B0018","39799",2008,"Société Générale  M RISSE","Tour Société Générale  92979 Paris la Défense","68","Maréchal de Lattre de Tassigny","P","90","41041 m²","Ajout d'un distributeur de billets+ remplacement d'un autre","39899",,"M PINSON   01-60-17-72-45              06-0752-50-27-",
"25","09B0001","39815",2009,"TABAC-PRESSE : M CHEKIR","15 Rue Racine 93000 Bobigny","64","Jules Guesde (Rue )","AE","173","75 m²","Aménagement d'un tabac","39890",,"06-12-24-96-41",
"26","09B0002","39822",2009,"ASSOCIATION ADDENTIS: M DE PONCINS","20 Rue Henri Barbusse 75005 Paris","119","Carnot  (Avenue)","AK","10","2981 m²","Cabinet dentaire","39899",,"06-77-62-52-13",
"27","09B0003","39861",2009,"MACHI SUSHI","40 Avenue de Lattre de Tassigny","24","Jules Guesde (Rue )","AE","167","1246 m²","Restaurant japonais","40094",,,
"28","09B0004","39891",2009,"AJ-BIO : M GENT","26 Rue Auguste Pollissart Bondy","28-32","Jules Guesde (Rue )","AE","126","1431 m²","Aménagement d' un magasin BIO","40038",,"06-61-71-92-19",
"29","09B0005","39899",2009,"SCI RMJA","81 rue Jules Guesde","81","Jules Guesde (Rue )","P","123-124","1428+99 m²","Médecin généraliste","39988",,"06-82-45-50-25",
"30","09B0006","39910",2009,"Boulangerie CAL'PAIN
M KARATUT","24 rue Jules Guesde","24","Jules Guesde (Rue )","AE","167",,"Aménagement de la boulangerie avec sandwicherie","40177",,"01-43-32-03-72",
"31","09B0007","39911",2009,"SCI  KAOMI : M VOLLE","252 Bld Saint Germain 75007 Paris","67","Carnot  (Avenue)","AK","87","300 m²","Office Notarial","40017",,"06-82-18-12-48",
"32","09B0008","39926",2009,"SAS Arcelis : M HAMON","14 Place de la République","14","République                        (Place )",,,,"Réaménagement du magasin","40007",,,
"33","09B0009","39966",2009,"SILAIR","226 Rue L.A.Blanqui","226","L.  A.Blanqui (Rue )","AP","185","798 M²","Local artisanal en local commercial","40058",,"01-48-49-91-92",
"34","09B0010","40002",2009,"Centre-Optic : M TROJMAN","161/163  Avenue Galliéni","161-163","Galliéni (Avenue )","K","47","400m²","Agencement d'un magasin optic  - audio prothèse","Refus le  16/12/2009",,,
"35","09B0011","40009",2009,"Hopital Jean Verdier  M. VERRIELE Fabrice","Avenue du Quatorze Juillet",,"Quatorze  Juillet Avenue du","E","86","394,50 m²","Mise au norme de la réanimation","40111",,"01-48-02-66-35",
"36","09B0012","40009",2009,"Hopital Jean Verdier  M. VERRIELE Fabrice","Avenue du Quatorze Juillet",,"Quatorze  Juillet Avenue du","E","86","31255 m²","Refection des façades","40064",,"01-48-02-66-35",
"37","09B0013","40079",2009,"Ville de Bondy
M ROGER","Esplanade  Claude Fuzier 93140 Bondy","8","Terre St Blaise (rue de la )","A","214","16255 m²","Réhabilitation de l'école","40585",,"01-48-50-56-10",
"38","09B0014","40087",2009,"Sas Dinamik : M. BISMUTH","164 Avenue Galliéni","164","Galliéni (Avenue )","N","24","1125 m²","Aménagement d'une surface de vente","40177",,,
"39","10B0001","40193",2010,"La Poste : M. DELASSUS","68 Avenue du Général de Gaulle 94715Maisons Alfort Cedex","40","Henri Barbusse (Avenue )",,,,"Réaménagement intérieur de la salle du public","40290",,,
"40","10B0002","40210",2010,"CHU Jean Verdier  : M. VERRIELE","Avenue du Quatorze Juillet",,"Quatorze  Juillet Avenue du","E                L","86            130","31255m²","Remplacement de 3 monte- malades","40336",,,
"41","10B0003","40276",2010,"CD4 Clément Hervé","3/5 allée Etienne Laurent 93390  Clichy sous Bois","207","Galliéni (Avenue )","OL","61","8514 m²","Travaux d'aménagemnt sur concept Mc Donald's","40381",,"01-48-03-61-00",
"42","10B0004","40280",2010,"MONOPRIX Exploitation  : M. HOUZE","14-16 Rue Marc BLOCH 92110 Clichy-sous-Bois","32","Auguste Polissard    (Rue )","OJ","318","5396 m²","Réorganisation du magasin","40343",,"03-21-79-01-06",
"43","10B0005","40288",2010,"Sarl Boucherie : Le Vaillant M.SEKIOU","189 Rue Edouard Vaillant","189","Edouard Vaillant (Rue )","AO","229","222 m²","Aménagement d'une boucherie","40365",,"06-20-26-14-64",
"44","10B0006","40312",2010,"GUEST LIVE","36 rue Marcel Dassault","36","Marcel Dassault","BD","129","2950 m²","Aménagement d'un studio cinéma","40368",,"01-48-48-01-73
06-71-63-92-59",
"45","10B0007","40337",2010,"Région IDF","35 Bd des Invalides 
75007 Paris","29","Georges Elie (rue)","M","99-111-126",,"Implantation de 2 bâtiments provisoires","40399",,"Architecte 01-43-38-51-00",
"46","10B0008","40382",2010,"Mairie de Bondy : M. ROGER","Esplanade Claude FUZIER 93143 Bondy cedex","1","Jean LEBAS (Avenue )","B","132","1190 m²","Aménagement d'une maison de la jeunesse","40604",,"01-47-00-33-26",
"47","10B0009","40422",2010,"COMPAGNON","Maisons SOTRACO 14 Cours Poincaré 54200 Toul","95/97","Roger  Salengro
 (rue )","AT","215","886 m²","Remplacement de l'enseigne et pose d'enseignes",,"Avis Défavorable le 26/04/2011","Maître d'œuvre SOTRACO M LAURENT 03-83-64-26-30-Demandeur M Compagnon 06-07-90-60-36",
