MOT_DIR,NOM_MIN,TYPE_VOIE,statut,MOT_DIR2,,
abeilles,villa des abeilles,villa,original,ABEILLES,,
alice,allée alice,allée,original,ALICE,,
alouettes,allée des alouettes,allée,original,ALOUETTES,,
alpy,rue henri alpy,rue,original,ALPY,,
andrea,allée andrea,allée,original,ANDREA,,
anémones,allée des anémones,allée,original,ANEMONES,,
apollinaire,rue guillaume apollinaire,rue,original,APOLLINAIRE,,
arendt,allée hannah arendt,allée,original,ARENDT,,
arts,allée des arts,allée,original,ARTS,,
aubiers,rue des francs aubiers,rue,original,AUBIERS,,
aubrac,rue lucie aubrac,rue,original,AUBRAC,,
auffret,rue jules auffret,rue,original,AUFFRET,,
aulnay,route d'aulnay,route,original,AULNAY,,
auriol,rue jacqueline auriol,rue,original,AURIOL,,
aviation,rue de l'aviation,rue,original,AVIATION,,
azalées,allée des azalées,allée,original,AZALEES,,
barbe rue,rue sainte-barbe,rue,modif,BARBE RUE,,
barbe ruelle,ruelle sainte-barbe,ruelle,modif,BARBE RUELLE,,
barbusse,avenue henri barbusse,avenue,original,BARBUSSE,,
bastié,allée maryse bastié,allée,original,BASTIE,,
baudin,rue baudin,rue,original,BAUDIN,,
baurit,rue de l'abbé maurice baurit,rue,original,BAURIT,,
beauregard,rue beauregard,rue,original,BEAUREGARD,,
beauvoir,rue simone de beauvoir,rue,original,BEAUVOIR,,
becquerel,allée becquerel,allée,original,BECQUEREL,,
bel air,rue du bel-air,rue,modif2,BEL AIR,,
belfort,avenue de belfort,avenue,original,BELFORT,,
bellay,allée joachim du bellay,allée,original,BELLAY,,
benhamou,avenue maurice benhamou,avenue,original,BENHAMOU,,
béranger,rue béranger,rue,original,BERANGER,,
berlioz,allée hector berlioz,allée,original,BERLIOZ,,
berthelot,rue marcellin berthelot,rue,original,BERTHELOT,,
blaise,rue de la terre saint-blaise,rue,original,BLAISE,,
blanqui,rue louis auguste blanqui,rue,original,BLANQUI,,
blériot avenue,avenue blériot,avenue,modif,BLERIOT AVENUE,,
blériot sentier,sentier blériot,sentier,modif,BLERIOT SENTIER,,
blum,avenue léon blum,avenue,original,BLUM,,
bobillot,rue du sergent bobillot,rue,original,BOBILLOT,,
boileau,allée boileau,allée,original,BOILEAU,,
bolívar,allée simón bolívar,allée,original,BOLIVAR,,
bon air,rue du bon air,rue,modif2,BON AIR,,
bondy,rue de bondy,rue,original,BONDY,,
bonnet,rue robert bonnet,rue,original,BONNET,,
bordier,rue bordier,rue,original,BORDIER,,
borel,rue borel,rue,original,BOREL,,
bosquets,allée des bosquets,allée,original,BOSQUETS,,
bouleaux,allée des bouleaux,allée,original,BOULEAUX,,
bourdieu,sentier pierre bourdieu,sentier,original,BOURDIEU,,
brassens,impasse georges brassens,impasse,original,BRASSENS,,
bréchet,villa du bréchet,villa,original,BRECHET,,
brel,impasse jacques brel,impasse,original,BREL,,
breuil rue,rue du breuil,rue,modif,BREUIL RUE,,
breuil villa,villa du breuil,villa,modif,BREUIL VILLA,,
brossolette,rue pierre brossolette,rue,original,BROSSOLETTE,,
buisson allée,allée du gros buisson,allée,modif,BUISSON ALLEE,,
buisson avenue,avenue suzanne buisson,avenue,modif,BUISSON AVENUE,,
butte,rue de la butte,rue,original,BUTTE,,
caderas,avenue caderas,avenue,original,CADERAS,,
carman,rue joe carman,rue,original,CARMAN,,
carnot avenue,avenue carnot,avenue,modif,CARNOT AVENUE,,
carnot impasse,impasse carnot,impasse,modif,CARNOT IMPASSE,,
carnot villa,villa carnot,villa,modif,CARNOT VILLA,,
carrouges,chemin des carrouges,chemin,original,CARROUGES,,
castel,impasse du castel,impasse,original,CASTEL,,
cerises,villa des cerises,villa,original,CERISES,,
chalet,rue du chalet,rue,original,CHALET,,
champart,rue du champart,rue,original,CHAMPART,,
chapelain,rue lucien chapelain,rue,original,CHAPELAIN,,
char rue,rue rené char,rue,modif,CHAR RUE,,
char sentier,sentier rené char,sentier,modif,CHAR SENTIER,,
château,rue du vieux château,rue,original,CHATEAU,,
chênes,allée des chênes,allée,original,CHÊNES,,
cheval,rue du fer à cheval,rue,original,CHEVAL,,
clair,impasse rené clair,impasse,original,CLAIR,,
claye,chemin de montreuil à claye,chemin,original,CLAYE,,
clocher,avenue du clocher,avenue,original,CLOCHER,,
clos,rue du clos vaillant,rue,modif2,CLOS,,
cochin,rue denys cochin,rue,original,COCHIN,,
collardeau,rue phileas collardeau,rue,original,COLLARDEAU,,
collet,rue françois collet,rue,original,COLLET,,
collignon,rue louis léon collignon,rue,original,COLLIGNON,,
colombes,allée des colombes,allée,original,COLOMBES,,
communes,allée des 2 communes,allée,original,COMMUNES,,
compagnon,rue compagnon,rue,original,COMPAGNON,,
concorde,allée de la concorde,allée,original,CONCORDE,,
condorcet,allée condorcet,allée,original,CONDORCET,,
coquelicots,allée des coquelicots,allée,original,COQUELICOTS,,
corneille,allée corneille,allée,original,CORNEILLE,,
courtade,allée jean courtade,allée,original,COURTADE,,
couturier,rue paul vaillant couturier,rue,original,COUTURIER,,
cronstadt,rue de cronstadt,rue,original,CRONSTADT,,
curie,avenue marie curie,avenue,original,CURIE,,
cycle,rue du cycle,rue,original,CYCLE,,
dahlias,allée des dahlias,allée,original,DAHLIAS,,
darty,rue des frères darty,rue,original,DARTY,,
dassault,rue marcel dassault,rue,original,DASSAULT,,
daubie,rue julie victoire daubie,rue,original,DAUBIE,,
debussy,allée claude debussy,allée,original,DEBUSSY,,
defferre,rue gaston defferre,rue,original,DEFFERRE,,
delacroix,allée eugène delacroix,allée,original,DELACROIX,,
délaine,rue césar délaine,rue,original,DELAINE,,
denise,avenue denise,avenue,original,DENISE,,
deraimes,allée maria deraimes,allée,original,DERAIMES,,
deviniere,allée de la devinière,allée,original,DEVINIERE,,
dolet,rue etienne dolet,rue,original,DOLET,,
dormoy,avenue marx dormoy,avenue,original,DORMOY,,
douillot,rue henri douillot,rue,original,DOUILLOT,,
douvillez,rue robert douvillez,rue,original,DOUVILLEZ,,
dumesnil,avenue dumesnil,avenue,original,DUMESNIL,,
dumont,rue rené dumont,rue,original,DUMONT,,
dunant,rue henri dunant,rue,original,DUNANT,,
duras,rue marguerite duras,rue,original,DURAS,,
écoles place,place des écoles,place,modif,ECOLES PLACE,,
écoles rue,rue des écoles,rue,modif,ECOLES RUE,,
égalité allée,allée de l'égalité,allée,modif,EGALITE ALLEE,,
égalité rue,rue de l'égalité,rue,modif,EGALITE RUE,,
élie,rue georges élie,rue,original,ELIE,,
eluard,rue paul eluard,rue,original,ELUARD,,
érables,allée des érables,allée,original,ERABLES,,
escholiers,rue des escholiers,rue,original,ESCHOLIERS,,
espérance,avenue de l'espérance,avenue,original,ESPERANCE,,
espéranto,allée espéranto,allée,original,ESPERANTO,,
étoile,allée de l'étoile,allée,original,ETOILE,,
eudemon,place eudemon,place,original,EUDEMON,,
fairon,rue emmanuel fairon,rue,original,FAIRON,,
fauré,allée gabriel fauré,allée,original,FAURE,,
fauvette,allée de la fauvette,allée,original,FAUVETTE,,
fer,rue du chemin de fer,rue,original,FER,,
fer prolongée,rue du chemin de fer prolongée,rue,modif2,FER PROLONGEE,,
ferdinand,rue charles ferdinand,rue,original,FERDINAND,,
ferry,avenue jules ferry,avenue,original,FERRY,,
fleurs,place des fleurs,place,original,FLEURS,,
fleury,villa fleury,villa,original,FLEURY,,
floralies,rue des floralies,rue,original,FLORALIES,,
fontaine,rue fontaine,rue,original,FONTAINE,,
forêt,pont de la forêt,pont,original,FORÊT,,
fougères,allée des fougères,allée,original,FOUGÈRES,,
fourcade,mail marie-madeleine fourcade,mail,original,FOURCADE,,
