Dossier,Numéro - Type de dossier,Code insee de la commune principale,Année de dépôt,Date de dépôt,Dossier issu de la SVE ?
DP 93010 22 00180,DP,93010,2022,06/12/2022,0
DP 93010 21 B0214,DP,93010,2021,27/12/2021,0
DP 93010 22 B0004,DP,93010,2022,14/01/2022,0
DP 93010 21 B0209,DP,93010,2021,14/12/2021,0
PC 93010 21 B0025 M02,PC,93010,2021,22/12/2021,0
PC 99999 21 00001,PC,99999,2021,17/12/2021,1
PC 99999 21 00001 M01,PC,99999,2021,17/12/2021,1
DP 99999 22 00001,DP,99999,2022,24/01/2022,1
DP 93010 22 B0006,DP,93010,2022,12/01/2022,0
PC 93010 22 B0003,PC,93010,2022,19/01/2022,0
DP 93010 22 B0036,DP,93010,2022,16/03/2022,0
DP 93010 22 B0009,DP,93010,2022,21/01/2022,0
DP 93010 22 B0012,DP,93010,2022,01/02/2022,0
PC 93010 21 B0102,PC,93010,2021,24/12/2021,0
DP 93010 22 B0055,DP,93010,2022,14/04/2022,1
DP 99999 22 00003,DP,99999,2022,24/01/2022,0
DP 93010 21 00217,DP,93010,2021,29/12/2021,1
DP 93010 21 00212,DP,93010,2021,22/12/2021,0
PC 93010 21 B0077,PC,93010,2021,26/10/2021,0
DP 93010 21 B0217,DP,93010,2021,27/12/2021,0
PC 93010 21 B0052 M03,PC,93010,2021,21/12/2021,0
DP 93010 21 B0191,DP,93010,2021,26/10/2021,0
PC 99999 22 00001,PC,99999,2022,14/03/2022,0
DP 93010 22 00005,DP,93010,2022,14/01/2022,1
DP 93010 22 B0011,DP,93010,2022,26/01/2022,0
DP 93010 22 B0007,DP,93010,2022,12/01/2022,0
DP 99999 21 00001,DP,99999,2021,29/12/2021,1
PC 93010 22 B0063,PC,93010,2022,07/12/2022,1
DP 93010 22 00047,DP,93010,2022,31/03/2022,0
DP 93010 21 B0216,DP,93010,2021,24/12/2021,0
PC 93010 20 B0075 M01,PC,93010,2021,28/07/2021,0
DP 99999 21 00002,DP,99999,2021,29/12/2021,1
DP 93010 22 B0002,DP,93010,2022,03/01/2022,0
DP 93010 22 B0003,DP,93010,2022,11/01/2022,0
DP 93010 22 B0008,DP,93010,2022,12/01/2022,0
PC 93010 22 B0010,PC,93010,2022,07/03/2022,0
DP 93010 21 B0215,DP,93010,2021,21/12/2021,0
DP 93010 22 00161,DP,93010,2022,02/11/2022,0
DP 93010 22 B0014,DP,93010,2022,11/02/2022,0
DP 93010 22 B0037,DP,93010,2022,15/03/2022,0
DP 93010 22 B0029,DP,93010,2022,24/02/2022,0
DP 93010 22 B0026,DP,93010,2022,16/02/2022,0
DP 93010 22 B0022,DP,93010,2022,14/02/2022,0
DP 93010 22 B0021,DP,93010,2022,14/02/2022,0
DP 93010 22 B0015,DP,93010,2022,11/02/2022,0
DP 93010 22 B0035,DP,93010,2022,18/03/2022,0
DP 93010 22 B0031,DP,93010,2022,28/02/2022,0
PC 93010 22 B0009,PC,93010,2022,04/03/2022,0
DP 93010 22 B0034,DP,93010,2022,04/03/2022,0
PC 93010 22 B0045,PC,93010,2022,18/07/2022,1
DP 93010 22 B0033,DP,93010,2022,03/03/2022,0
DP 93010 22 B0016,DP,93010,2022,14/02/2022,0
DP 93010 22 B0019,DP,93010,2022,16/02/2022,0
DP 93010 22 B0030,DP,93010,2022,25/02/2022,0
DP 93010 22 B0102,DP,93010,2022,05/07/2022,0
DP 93010 21 B0160,DP,93010,2021,06/08/2021,0
PC 93010 21 B0033 T01,PC,93010,2022,15/03/2022,0
