"","COLONNES","NATURE","FORMAT","EXEMPLE","NA.","NA..1","NA..2"
"1","Type","Type de dossier","TEXTE (10)","PC, PC MI, DP, CUa, CUb",NA,NA,NA
"2","Numéro","numéro de dossier","TEXTE (20) concaténation 
""0"" + code insee (sur 5 caractères) + année (sur 2 caractères) + code instructeur  (sur 1 caractère) + numéro de dossier (sur 4 caractères et complété par des 0)

En cas de modificatif ou transfert, ajout d'un ""-"" suivi du numéro correspondant au numéro de modificatif ou transfert","09999912S0102-1",NA,NA,NA
"3","Initial","numéro de dossier initial en cas de modificatif ou transfert","TEXTE (20)","09999912S0102",NA,NA,NA
"4","INSEE","code insee commune","TEXTE (5)","99999",NA,NA,NA
"5","Commune","nom commune","TEXTE (100)","Operisville",NA,NA,NA
"6","Autonome","Autonome","TEXTE (3) - ""Oui""/""Non""","Oui",NA,NA,NA
"7","Projet","Type de projet","TEXTE (100)","construction d'une habitation",NA,NA,NA
"8","Destination","Type de destination","TEXTE (100)","Habitation",NA,NA,NA
"9","Nb logements","Nombre de logements","TEXTE (10)","2",NA,NA,NA
"10","Surface terrain","Surface terrain","TEXTE (10)","337",NA,NA,NA
"11","SHON existante","SHON existante","TEXTE (10)","142.14",NA,NA,NA
"12","SHON construite","SHON construite","TEXTE (10)","142.14",NA,NA,NA
"13","SHON transformation SHOB","SHON transformation SHOB","TEXTE (10)","142.14",NA,NA,NA
"14","SHON changement destination","SHON changement destination","TEXTE (10)","142.14",NA,NA,NA
"15","SHON démolie","SHON démolie","TEXTE (10)","142.14",NA,NA,NA
"16","SHON supprimée","SHON supprimée","TEXTE (10)","142.14",NA,NA,NA
"17","Architecte","Recours à un architecte","TEXTE (3) - ""Oui""/""Non""","Oui",NA,NA,NA
"18","Demandeur","Nom prénom / dénomination","TEXTE (100) - format concaténé","DUPOND Henry",NA,NA,NA
"19","Opposition CNIL","Opposition CNIL (utilisation informations à des fins commerciales)","TEXTE (3) - ""Oui""/""Non""","Oui",NA,NA,NA
"20","Adresse demandeur","Adresse demandeur","TEXTE (100) - format concaténé","61 rue des Hirondelles 99999 Operisville",NA,NA,NA
"21","Terrain","Adresse terrain","TEXTE (100) - format concaténé","5 impasse des Ormeaux 99999 Operisville",NA,NA,NA
"22","Références cadastrales","Parcelles du terrain","TEXTE (100) - format concaténé séparateur "", ""","BV-23, BV-24",NA,NA,NA
"23","Lotissement","terrain situé dans un lotissement ?","TEXTE (3) - ""Oui""/""Non""","Oui",NA,NA,NA
"24","AFU","terrain partie d’un remembrement urbain","TEXTE (3) - ""Oui""/""Non""","Oui",NA,NA,NA
"25","Détail ZAC AFU",NA,"TEXTE (100)",NA,NA,NA,NA
"26","Autorité","Compétence du dossier","TEXTE (100)","Le maire Au nom de la commune",NA,NA,NA
"27","Etat","Etat du dossier","TEXTE (100)","Décision notifiée au demandeur",NA,NA,NA
"28","Centre instructeur","Nom centre instructeur","TEXTE (100)","D.D.T.  POLE ADS SUD",NA,NA,NA
"29","Instructeur","Nom prénom Instructeur","TEXTE (100)","DURAND Stéphanie",NA,NA,NA
