"","fid","N..de.caméra.existante","N..de.caméra.en.extension","Lieu.d.implantation","LATTITUDE.CAMERA","LONGITUDE.CAMERA"
"1",1,"",1,"Rond point du Verger",48.91821,2.477263
"2",2,"",2,"Rond point du Verger",48.91821,2.477263
"4",4,"",4,"Rond point de l’Avenue Léon Jouhaux",48.918011,2.479385
"5",5,"",5,"Rond point de l’Avenue Léon Jouhaux",48.918011,2.479385
"7",7,"",7,"Avenue Henri Varagnat",48.917501,2.485021
"8",8,"",8,"Avenue Henri Varagnat",48.917501,2.485021
"17",17,"",17,"Avenue Marx Dormoy",48.9115765,2.4836129
"18",18,"",18,"Avenue Marx Dormoy",48.9115765,2.4836129
"22",22,"",22,"Rue Jean Jacques Rousseau",48.9105318,2.4758428
"23",23,"",23,"Rue Jean Jacques Rousseau",48.9105318,2.4758428
"24",24,"",24,"Route d’Aulnay",48.90825,2.480176
"25",25,"",25,"Route d’Aulnay",48.90825,2.480176
"27",27,"",27,"Avenue Pasteur",48.906815,2.488582
"28",28,"",28,"Avenue Pasteur",48.906815,2.488582
"29",29,"",29,"Avenue Pasteur",48.906815,2.488582
"31",31,"",31,"Avenue du Maréchal Lattre de Tassigny",48.9060175,2.4832219
"32",32,"",32,"Avenue du Maréchal Lattre de Tassigny",48.9060175,2.4832219
"33",33,"",33,"Rue Auguste Polissard",48.905535,2.480342
"34",34,"",34,"Rue Auguste Polissard",48.905535,2.480342
"35",35,"",35,"Rue Gâtine",48.9050361,2.4770507
"36",36,"",36,"Rue Gâtine",48.9050361,2.4770507
"37",37,"",37,"Rue Jules Guesde / Rue Fresmin",48.904242,2.472947
"38",38,"",38,"Rue Jules Guesde / Rue Fresmin",48.904242,2.472947
"39",39,"",39,"Rue Jules Guesde / Rue Fresmin",48.904242,2.472947
"40",40,"",40,"Nationale 3 / Avenue Gallieni",48.903944,2.470581
"41",41,"",41,"Avenue du Général Gallieni",48.903944,2.470581
"63",63,"",63,"Avenue Henri Barbusse / D10",48.899705,2.494413
"64",64,"",64,"Avenue Henri Barbusse / D10",48.899705,2.494413
"67",67,"",67,"Rue Edouard Vaillant",48.894026,2.496139
"68",68,"",68,"Rue Edouard Vaillant",48.894026,2.496139
"77",77,"",77,"Rue du Chemin de Fer Prolongée",48.891331,2.491232
"78",78,"",78,"Rue du Chemin de Fer Prolongée",48.891331,2.491232
"79",79,"",79,"Route de Villemonble",48.891221,2.490642
"80",80,"",80,"Route de Villemonble",48.891221,2.490642
"93",93,"03'",NA,"Parking Neuburger",48.9011719,2.4913929
"94",94,"04'",NA,"Parking Neuburger",48.9011719,2.4913929
"96",96,"06'",NA,"Parking Neuburger",48.901595,2.4917182
"97",97,"07'",NA,"Parking Neuburger",48.901595,2.4917182
"98",98,"08'",NA,"Parking Neuburger",48.9017424,2.491084
"99",99,"09'",NA,"Parking Neuburger",48.9017424,2.491084
"100",100,"10'",NA,"Parking Neuburger",48.9013432,2.4908618
"101",101,"11'",NA,"Parking Neuburger",48.9013432,2.4908618
"105",105,"15'",NA,"Place de la république",48.8947935,2.4789744
"106",106,"16'",NA,"Place de la république",48.8947935,2.4789744
