ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,facteurs,cp
11,Non,,,,,,,,,,,,,,,,,,,,,,,28360
12,Non,,,,,,,,,,,,,,,,,,,,,,,28800
13,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,45220
14,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Zone calcaire ou plus sableuse,41140
15,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28500
16,Oui,Non,,,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Non,,,Non,,,Type de sol ( dégâts plus marqués en terres superficielles ),41500
17,Non,,,,,,,,,,,,,,,,,,,,,,,28160
18,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28500
19,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,non,37270
20,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,45480
21,Non,,,,,,,,,,,,,,,,,,,,,,,31300
22,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,plus de degats sur culture avec le non labour,45560
23,Non,,,,,,,,,,,,,,,,,,,,,,,45490
24,Oui,Non,,,Oui,Très ponctuels (<5%),Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Désherbage tardif début Janvier,41240
25,Oui,Je ne sais pas,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,,42290
26,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,non,41370
27,Non,,,,,,,,,,,,,,,,,,,,,,,28630
28,Non,,,,,,,,,,,,,,,,,,,,,,,28630
29,Oui,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,stade,28220
30,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,45
31,Non,,,,,,,,,,,,,,,,,,,,,,,45310
32,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28270
33,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,Orge au stade DFP,28250
34,Oui,Oui,Généralisés (>30% de la surface touchée),,Oui,Localisés (entre 5 et 30%),,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,28310
35,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),,Non,,,,,,Oui,Très ponctuels (<5%),,Non,,,,41290
36,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,45300
37,Non,,,,,,,,,,,,,,,,,,,,,,,45210
38,Non,,,,,,,,,,,,,,,,,,,,,,,45490
39,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,45480
40,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Non,,,Non,,,anti graminées effectué dans les 4 semaines avant le gel,28320
41,Oui,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28310
42,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,45300
43,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28120
44,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Variété et stade,45480
45,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,variete Galibier,45480
46,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,28200
47,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,,28700
48,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Betterave  stade  2 cotylédons  ressème ,28800
49,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,,45300
50,Non,,,,,,,,,,,,,,,,,,,,,,,41240
51,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,"Variétés avancées en stade, 1 noeuds passé.",28140
52,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28150
53,Oui,Non,,,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Non,28140
54,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,Non,,,,,,Non,,,Non,,,,41100
55,Non,,,,,,,,,,,,,,,,,,,,,,,41110
56,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,degats    sur   colza    non    formation    siliques     ,                        
57,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,Stade 2 noeud,45290
58,Non,,,,,,,,,,,,,,,,,,,,,,,41270
59,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,"variété, stade",28310
60,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,variété providence au stade 2 noeuds,28150
61,Oui,Je ne sais pas,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,degats sur pois d'hiver brulure du premier étage de fleurs,41110
62,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,"expositions des parcelles ,les vallées sont plus touchées à suivre",28250
63,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Pas de dégâts notables pour le moment sauf quelques brulures de feuilles sur Planet. Les épis des orges d'hiver étaient à 7cm environ pour le moment pas de symptôme de brulure d'épis mais tout comme sur orge de printemps nous verrons à l'épiaison la perte de grain. Pour les blés même réflexion. Nous avions un peu de neige le matin ou la gel était le plus fort...peut être cela a t il atténué?,45190
64,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Expert,37110
65,Oui,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,45480
66,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Dégats sur colza notamment variété lignée.,45220
67,Oui,Non,,,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,"on ne sait pas si le gel à toucher quelques épiais sur l'epi, en particulier des blés tendres au stade 2 noeuds",41100
68,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,"exposition de la parcelle, zone de vent...",28150
69,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;Destruction totale (les tiges sont toutes gelées);,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Non,,,Oui,28368
70,Oui,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,45170
71,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Variété ,28210
72,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Faible minéralisation des nutriments par le sec suivant la nature des sols.,37800
73,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Non,,,Non,,,,28260
74,Non,,,,,,,,,,,,,,,,,,,,,,,45170
75,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Cesario et Tenor en blé tendre semblent plus impactés. Pour les maîtres-brins encore difficil à dire un expert passera. Le tout amplifié par la sécheresse.,37360
76,Non,,,,,,,,,,,,,,,,,,,,,,,28260
77,Oui,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Non,,,Non,,,L'impact du ghyphosate et un manque de potassium et manganèse,453340
78,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,45300
79,Non,,,,,,,,,,,,,,,,,,,,,,,45170
80,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,41100
81,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Non,,,,,,Non,,,Non,,,COLZA A RESEMER,28240
82,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,azote disponible,45340
83,Non,,,,,,,,,,,,,,,,,,,,,,,41800
84,Non,,,,,,,,,,,,,,,,,,,,,,,28270
85,Non,,,,,,,,,,,,,,,,,,,,,,,41240
86,Oui,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Non,37350
87,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,41500
88,Non,,,,,,,,,,,,,,,,,,,,,,,28320 
89,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Non,,,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,stade et variété et exposition,45700
90,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,Symptômes sévères sur feuillage orge de printemps semée début Mars 2021 ,28700 
91,Non,,,,,,,,,,,,,,,,,,,,,,,28200
92,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Non,,,Non,,,,45300
93,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),,Non,,,,,,Non,,,Non,,,nn,41100
94,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28300
95,Oui,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,sol argilo calcaire superficiel,45380
96,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,En ce qui concerne les céréales les dégâts ne pourrons s'évaluer qu'à l’épiaison avec du gel épi plus ou moins important ,28200
97,Oui,Non,,,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28140
98,Non,,,,,,,,,,,,,,,,,,,,,,,28360
99,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,Bouton accolé ,45230
100,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,zone située en fond de vallée,28210
101,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Je ne sais pas,,,Je ne sais pas,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,La variété Fantex (op) sensible au gel et les parcelles calcaires plus touchées que les autres.,45270
102,Non,,,,,,,,,,,,,,,,,,,,,,,28150
103,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,,28200
104,Oui,Non,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,"Le lin graines est touché particulièrement, ainsi que les pois d'hiver !",28800
105,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Orge printemps fantex,45490
106,Non,,,,,,,,,,,,,,,,,,,,,,,41240
107,Non,,,,,,,,,,,,,,,,,,,,,,,45190
108,Non,,,,,,,,,,,,,,,,,,,,,,,41100
109,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Précocité variété (kwsBorrelly),28270
110,Oui,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Je ne sais pas,,,Non,,,,,,Non,,,Non,,,,28150
111,Non,,,,,,,,,,,,,,,,,,,,,,,41100
112,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Je ne sais pas,,,Non,,,Mon soucis est également et surtout sur betteraves (10 % gelées  ),28130
113,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,45170
114,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,,,Je ne sais pas,,,,,,Je ne sais pas,,,Je ne sais pas,,,amplifié après du moddus pourtant décalé du fongicide ,28160
115,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28270
116,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,Type de sol et orientation parcellaire,28400
117,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de plantes;,Non ,38310
118,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Fond de vallée plus touchée,45390
119,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,45300
