"","id","2018","2019","2020","2021","2022"
"1","O 1","1219.15","1064.05","513.4","561.45","0"
"2","O 10","1815.3","4508.4","1598.1","1714.5","0"
"3","O 11","4298.8","3967.35","1634.2","1608.35","0"
"4","O 2","4763.35","5551.15","2839.25","2530.55","0"
"5","O 3","4804.8","5620.8","2444.15","1746.95","0"
"6","O 4","2128.6","1980.15","1314.55","1332.65","0"
"7","O 5","18438.1","18677.95","9280.45","5095.3","0"
"8","O 6","1948.35","1090.95","829.45","960.05","0"
"9","O 7","1993.95","1272.5","569.1","874.2","0"
"10","O 8","1350.3","1441","666.8","576.45","0"
"11","O 9","1398","2041.8","1158.45","1181.3","0"
"12","V 1","5587","5402.3","3024.45",,
"13","V 10","6090.6","7313.85","4431.55","11176.9","0"
"14","V 11","4721.8","4929.6","2953.1","3155.75","0"
"15","V 12","2785.4","2699.5","1884.5","2112.4","0"
"16","V 13","3928.65","2807.15","2114.55","2225.2","0"
"17","V 14","4824.25","4786.7","2520.85","2384.8","0"
"18","V 15","7268.4","6034","3455.8","3312.5","0"
"19","V 16","4062.5","5165.05","3267.7","1735.55","0"
"20","V 17","19304.95","27357.2","11302.55","10642.1","0"
"21","V 18","5920.8","3964.75","2627.7","3243.3","0"
"22","V 2","7924.3","5419.15","3301.35","3900.8","0"
"23","V 3","3005.75","3171.7","2158.85","2114.55","0"
"24","V 4","15767.35","9988.85","10121.8","11846.4","0"
"25","V 5","3245.75","3234.3","578.3","0","0"
"26","V 6","4879.75","5062.3","3037.15","3887.6","0"
"27","V 7","3923.7","4299","2502.4","2955.05","0"
"28","V 8","6127","1489.95","314.25","199","0"
"29","V 9","2840.4","5804.5","3380.45","2673.95","0"
