Section (Références cadastrales),N° plan (Références cadastrales),N° de voirie (Adresse parcelle),Indice de répétition (Adresse parcelle),Code voie MAJIC (Adresse parcelle),Code voie rivoli (Adresse parcelle),Nature voie (Adresse parcelle),Nom voie (Adresse parcelle),Contenance (Caractéristiques parcelle),SUF (Evaluation SUF),Nature culture (Evaluation SUF),Contenance (Evaluation SUF),Code droit (Propriétaire(s) parcelle),N° MAJIC (Propriétaire(s) parcelle),N° SIREN (Propriétaire(s) parcelle),Groupe personne (Propriétaire(s) parcelle),Forme juridique (Propriétaire(s) parcelle),Forme juridique abrégée (Propriétaire(s) parcelle),Dénomination (Propriétaire(s) parcelle)
A,183,,,323,B361,,LE PRE DE LA RIVIERE,4137,,P,4137,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
D,61,,,294,B340,,LES PALIS,18140,,BS,18140,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,870,,,317,B360,,LE VERGNAUD,570,,L,570,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,871,,,317,B360,,LE VERGNAUD,7920,,E,7920,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,881,1,,402,A320,,LE PECHER,5355,,S,5355,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,885,,,220,B248,,LE PECHER,34740,,T,34740,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,897,,,142,B157,,LA GORCE,1760,,L,1760,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,898,,,142,B157,,LA GORCE,36319,,T,36319,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1232,,,317,B360,,LE VERGNAUD,69457,,T,69457,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1237,,,142,B157,,LA GORCE,18837,,T,18837,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1239,,,220,B248,,LE PECHER,32326,,T,32326,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1241,,,220,B248,,LE PECHER,1540,,S,1540,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1243,,,220,B248,,LE PECHER,10531,,BR,10531,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1245,,,220,B248,,LE PECHER,7217,,BR,7217,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1247,,,220,B248,,LE PECHER,4631,,BR,4631,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1318,,,137,B152,,LA GARGUILLE,8244,,BR,8244,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1319,,,266,B298,,LE PRE NEUF,56530,A,P,33353,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
A,1319,,,266,B298,,LE PRE NEUF,56530,Z,BP,23177,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
AD,1,,,39,B040,,PRE DU PECHER,13795,,P,13795,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
AD,21,,,21,B022,,LE GASOUILLAT,195,,S,195,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
AD,22,,,21,B022,,LE GASOUILLAT,400,,S,400,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
AD,23,,,21,B022,,LE GASOUILLAT,1813,,P,1813,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
AD,24,,,21,B022,,LE GASOUILLAT,1999,,P,1999,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
AD,25,,,31,B032,,LA PICHONNE,6472,,BR,6472,P,PBBWC7,219300100,4,7210,COM,COMMUNE DE BONDY
ZS,60,,,200,B227,,VIGNES DES MEUNIERS,902,,S,902,P,PBBQGQ,816720221,0,5499,SARL,SOCIETE IMMOB BONDY GILLARD BAILLOUX
ZS,107,15,,240,55,RTE,DE ST PIERRE DE MAILLE,459,,S,459,P,PBBQGQ,816720221,0,5499,SARL,SOCIETE IMMOB BONDY GILLARD BAILLOUX
ZS,108,15,,240,55,RTE,DE ST PIERRE DE MAILLE,2977,,S,2977,P,PBBQGQ,816720221,0,5499,SARL,SOCIETE IMMOB BONDY GILLARD BAILLOUX
ZS,109,15,,240,55,RTE,DE ST PIERRE DE MAILLE,1016,,S,1016,P,PBBQGQ,816720221,0,5499,SARL,SOCIETE IMMOB BONDY GILLARD BAILLOUX
