"","N° d'Archivage","type d'autorisation","référence","année du dépôt","date de la demande","nature des travaux envisagés","S.H.O.N.","surface du terrain en m²","date de la décision autorisation","ouverture de chantier","achévement des travaux","certificat de conformité"
"1","6234","PC","6234",,,"Hopital",,,"23767",,,
"2","6695","PC","6695",,,"Hopital",,,"25083",,,
"3","8110","PC","8110",,,"Boxes",,,"28198",,,
"4","8373","PC","8373",,,"Atelier",,,"28930",,,
"5","8739","PC","8739",,,"I-V-G",,,"30117",,,
"6","10883","PC","4279",1992,1991-10-23,"Extension pédiatrie",,,"33737",,,
"7","11914","DT","96B0041",1996,,"Reconstruction Maternité",,,"35353",,,
"8","11915","DT","96B0042",1996,,"Reconstruction Urgences + mise en conformité",,,"35290",,,
"9","11919","PC","96B0021",1996,,"Extension",,,"35269",,,
"10","11959","DT","96B0068",1996,,"Modif ecsalier + sortie",,,"35374",,,
"11","11964","PC","96B0036",1996,,,,,"35516",,,
"12","12010","DT","97B0010",1997,,"Extension centre de transfusion",,,"35534",,,
"13","12051","DT","97B0010",1997,,,,,"35576",,,
"14","12402","DT","98B0069",1998,,"Aménagt locaux usage d'acceuil ado",,,"36167",,,
"15","12532","PC","99B0031",1999,,"Aménagt centre d'anesthésie",,,"36466",,,
"16","12567","PC","99B0042",1999,,"Extension polyclinique",,,"?",,,
"17","12929","DT","01B0047",2001,,"Mise en conformité 
( 2ème tranche)+ restructuration service chirurgie infantile.",,,"36972",,,
"18","12930","DT","01B0048",2001,,"Mise en conformité 
( 2ème tranche)+ restructuration service chirurgie infantile.",,,"37008",,,
"19","13562","DT","03B0127",2003,,"Restructuration de la stérilisation",,,"37998",,,
"20","13635","DT","04B0022",2004,,"Modif cloison service soins",,,"38075",,,
"21","13678","DT","04B0050",2004,,"Création d'un local pour 2 compresseurs d'air médical",,,"38191",,,
"22","13900","PC","05B0029",2005,,"Construction d'un batiment de soin",,,"38642",,,
"23","13981","PC","05B0059",2005,,"Batiment IRM",,,"38712",,,
"24","14209","PC","06B0065",2006,2006-07-17,"Bâtiment de consultation","2660 m²","31304 m²","39034",2008-08-08,"Prorogation du 08/08/08",
"25","14317","DT","07B0010",2007,,"Transfert hopital de jour + façade",,,"39185",,,
"26","14327","DT","07B0016",2007,,"CentraleCHU organique",,,"39220",,,
"27","14384","PC","07B0026",2007,,"Construction d'un batiment modulaire",,,"39350",,,
"28","14619","PC","08A0021",2008,,"Construction d'un batiment modulaire",,,"39632",,,
"29","14996","DP","09B0089",2009,2009-07-15,"Mise aux normes de la réanimation",,"394,50 m²","Classé sans suite le 04/08/2009",,,
"30","14997","DP","09B0090",2009,2009-07-15,"Modifications des  façades sud",,"31255 m²","40017",,,
"31","15056","PC","06B0065/1",2009,2009-10-23,"Bâtiment de consultation",,,"40234",,,
"32","15107","DP","10B0003",2010,2010-01-14,"Remplacement de 3 ascenseurs :  '' monte-malades ''",,"31255m²","Classé sans suite du 11/02/2010",,,
"33","15372","DP","10B0156",2010,2010-11-19,"Réhabilitation et extension du poste central de sécurité",,,"Classé sans suite le 06/12/2010",,,
"34","15962","DP","12B0158",2012,,"Mise en sécurité des façades",,"29400",,,,
"35","Déclaration d'installation classée","Récépissé préfectoral de déclaration d'activité","37240",2015,,"installation de transit, regroupementou tri de déchets dangereux",,,,,,
