Activité;Enseigne;N°;rue;Téléphone;Canaux de distribution;Infos ;Mail;ville;cp;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district
Alimentation générale;AATVIK;93;avenue de la République;;;;;Bondy;93140;48.898425;2.478787;93 Avenue de la République 93140 Bondy;0.93;housenumber;93010_8160_00093;93;Avenue de la République;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Bondy Marché;23;avenue Pasteur;;;;;Bondy;93140;48.904363;2.484904;23 Avenue Pasteur 93140 Bondy;0.91;housenumber;93010_7130_00023;23;Avenue Pasteur;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Bondy Mini Marché;7;rue Louis-Auguste Blanqui;;;;;Bondy;93140;48.900255;2.479718;7 Rue Louis Auguste Blanqui 93140 Bondy;0.93;housenumber;93010_5170_00007;7;Rue Louis Auguste Blanqui;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Charki;75;rue Edouard Vaillant;01 48 50 92 74;;;;Bondy;93140;48.89575;2.483795;75 Rue Edouard Vaillant 93140 Bondy;0.93;housenumber;93010_3115_00075;75;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;M et E alimentation générale et exotique;6;rue de la Liberté;01 48 48 78 69;;;;Bondy;93140;48.894718;2.479337;6 Rue de la Liberté 93140 Bondy;0.91;housenumber;93010_5151_00006;6;Rue de la Liberté;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Ekimini Marché;69;rue Edouard Vaillant;;;;;Bondy;93140;48.895968;2.483391;69 Rue Edouard Vaillant 93140 Bondy;0.93;housenumber;93010_3115_00069;69;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;GAL Exotique;79;route de Villemomble;;;;;Bondy;93140;48.88963;2.495659;79 Route de Villemomble 93140 Bondy;0.92;housenumber;93010_9670_00079;79;Route de Villemomble;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;;95;rue Louis-Auguste Blanqui;01 48 49 32 03;;;;Bondy;93140;48.899482;2.482895;95 Rue Louis Auguste Blanqui 93140 Bondy;0.93;housenumber;93010_5170_00095;95;Rue Louis Auguste Blanqui;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Jathu Co;120;rue Roger Salengro;;;;;Bondy;93140;48.896206;2.477064;120 Rue Roger Salengro 93140 Bondy;0.92;housenumber;93010_8172_00120;120;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Kalaajini Store;93;rue Roger Salengro;;;;;Bondy;93140;48.895525;2.477415;93 Rue Roger Salengro 93140 Bondy;0.92;housenumber;93010_8172_00093;93;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Kalia;60;rue Michelet;06 24 65 79 52;;;;Bondy;93140;48.89941;2.47573;60 Rue Michelet 93140 Bondy;0.9;housenumber;93010_6212_00060;60;Rue Michelet;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;La Vallée de Bondy;93;avenue de la République;09 82 41 47 61;;;;Bondy;93140;48.898425;2.478787;93 Avenue de la République 93140 Bondy;0.93;housenumber;93010_8160_00093;93;Avenue de la République;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Le Petit Château Rouge;9;rue du Verger;01 48 48 69 43;;;;Bondy;93140;48.919193;2.477614;9 Rue du Verger 93140 Bondy;0.9;housenumber;93010_9620_00009;9;Rue du Verger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Le Petit Château Rouge;55;rue Jules Guesde;01 41 55 59 68;;;;Bondy;93140;48.904097;2.479488;55 Rue Jules Guesde 93140 Bondy;0.91;housenumber;93010_4775_00055;55;Rue Jules Guesde;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;L'Oasis Nord;28;avenue Léon Blum;01 48 48 58 12;;;;Bondy;93140;48.917544;2.479649;28 Avenue Léon Blum 93140 Bondy;0.91;housenumber;93010_5132_00028;28;Avenue Léon Blum;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Nouveau Oscar;;place de la République;01 48 50 78 74;;;;Bondy;93140;48.894992;2.477957;Place de la République 93140 Bondy;0.91;street;93010_8161;;Place de la République;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;S ONE Market;176;avenue Henri Barbusse;;;;suhi2013@hotmail.fr ;Bondy;93140;48.899613;2.496783;176 Avenue Henri Barbusse 93140 Bondy;0.93;housenumber;93010_4436_00176;176;Avenue Henri Barbusse;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Salengro Super Marché;58;rue Roger Salengro;09 61 64 48 34;;;;Bondy;93140;48.900182;2.478544;58 Rue Roger Salengro 93140 Bondy;0.92;housenumber;93010_8172_00058;58;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Superette de Bondy;2;villa Gabriel Seailles;09 81 16 56 25;;;;Bondy;93140;48.902032;2.470918;2 Villa Gabriel Seailles 93140 Bondy;0.92;housenumber;93010_4115_00002;2;Villa Gabriel Seailles;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Vass Mini Market;26;rue Roger Salengro;;;;;Bondy;93140;48.902267;2.479393;26 Rue Roger Salengro 93140 Bondy;0.92;housenumber;93010_8172_00026;26;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Yakko;20;rue Jean Jaurès;06 22 58 29 70;;;;Bondy;93140;48.902267;2.477279;20 Rue Jean Jaurés 93140 Bondy;0.91;housenumber;93010_4740_00020;20;Rue Jean Jaurés;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;BN alimentation;83;route d'Aulnay;;;;;Bondy;93140;48.910247;2.479925;83 Route d?Aulnay 93140 Bondy;0.91;housenumber;93010_0082_00083;83;Route d?Aulnay;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Ovia;241;rue Edouard Vaillant;;;;;Bondy;93140;48.89401;2.496384;241 Rue Edouard Vaillant 93140 Bondy;0.93;housenumber;93010_3115_00241;241;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Alimentation générale;Ganesavel;11;rue du Verger;;;;;Bondy;93140;48.918506;2.476772;11 Rue du Verger 93140 Bondy;0.9;housenumber;93010_9620_00011;11;Rue du Verger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Animalerie;Animalis;3;rue Auguste Pollissard;01 55 89 12 40;Click&Collect;;;Bondy;93140;48.90535;2.480409;3 Rue Auguste Polissard 93140 Bondy;0.89;housenumber;93010_0075_00003;3;Rue Auguste Polissard;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Audioprothésiste;Amplifon;22ter;rue Auguste Pollissard;01 48 02 03 06;;;;Bondy;93140;48.904533;2.48127;22ter Rue Auguste Polissard 93140 Bondy;0.9;housenumber;93010_0075_00022_ter;22ter;Rue Auguste Polissard;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;Auto-école Bondy Sud;146;Avenue Henri Barbusse;01 48 48 91 38;;;;Bondy;93140;48.899656;2.493777;146 Avenue Henri Barbusse 93140 Bondy;0.93;housenumber;93010_4436_00146;146;Avenue Henri Barbusse;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;CER;11;Avenue Pasteur;01 48 47 03 47;;;;Bondy;93140;48.90385;2.484164;11 Avenue Pasteur 93140 Bondy;0.91;housenumber;93010_7130_00011;11;Avenue Pasteur;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;Auto-école Neuburger;5;Place Nicole Neuburger;01 41 64 97 39;;;;Bondy;93140;48.901579;2.490598;5 Place Nicole Neuburger 93140 Bondy;0.92;housenumber;93010_6651_00005;5;Place Nicole Neuburger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;Elite Conduite;138;Route de Villemomble;01 48 47 76 16;;;;Bondy;93140;48.891428;2.489744;138 Route de Villemomble 93140 Bondy;0.92;housenumber;93010_9670_00138;138;Route de Villemomble;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;Auto-école de la gare de Bondy;6;Rue de la Liberté;01 41 55 39 93;;;;Bondy;93140;48.894718;2.479337;6 Rue de la Liberté 93140 Bondy;0.91;housenumber;93010_5151_00006;6;Rue de la Liberté;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;Axel R;37;Rue Jules Guesde;01 48 49 78 54;;;;Bondy;93140;48.90381;2.477624;37 Rue Jules Guesde 93140 Bondy;0.91;housenumber;93010_4775_00037;37;Rue Jules Guesde;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Auto-école;INRIS;31;Rue Henri Varagnat;01 48 49 16 32;;;;Bondy;93140;48.914939;2.483908;31 Avenue Henri Varagnat 93140 Bondy;0.76;housenumber;93010_4449_00031;31;Avenue Henri Varagnat;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Automobile;Auto Sécurité;7;rue du Professeur Vaillant;01 48 47 36 36;;;;Bondy;93140;48.899956;2.491758;7 Rue du Professeur Vaillant 93140 Bondy;0.92;housenumber;93010_7280_00007;7;Rue du Professeur Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Automobile;Garage GT Entretien;8;allée Eric Tabarly;01 48 48 56 64;;;;Bondy;93140;48.912172;2.482742;8 Rue Eric Tabarly 93140 Bondy;0.7;housenumber;93010_gs2x3y_00008;8;Rue Eric Tabarly;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Automobile;Mercedes Benz-Como Bondy;113;avenue Gallieni;01 48 47 29 11;;;;Bondy;93140;48.906148;2.480929;113 Avenue Galliéni 93140 Bondy;0.92;housenumber;93010_4120_00113;113;Avenue Galliéni;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Automobile;Pièces auto;165;avenue Henri Barbusse;09 87 50 32 39;;;turbo_competition@hotmail.fr;Bondy;93140;48.899744;2.496616;165 Avenue Henri Barbusse 93140 Bondy;0.93;housenumber;93010_4436_00165;165;Avenue Henri Barbusse;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Automobile;PSA Peugeot;97;avenue Gallieni;01 55 89 92 00;;;;Bondy;93140;48.905951;2.479471;97 Avenue Galliéni 93140 Bondy;0.91;housenumber;93010_4120_00097;97;Avenue Galliéni;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Automobile;Securitest;121;rue Edouard Vaillant;01 48 48 73 43;;;;Bondy;93140;48.895224;2.4876;121 Rue Edouard Vaillant 93140 Bondy;0.93;housenumber;93010_3115_00121;121;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
