"","Var1","Freq"
"1","Action sociale",4
"2","Action sociale|Santé|Séniors",1
"3","Action sociale|Séniors",1
"4","Commerce",1
"5","Culte",3
"6","Culture",6
"7","Éducation",1
"8","Enfance|Équipement sportif|Jeunesse",1
"9","Enfance|Jeunesse",1
"10","Enfance|Loisirs",13
"11","Environnement",14
"12","Equipements sportifs",12
"13","Etablissements scolaires",22
"14","Jeunesse",1
"15","Jeunesse|Services municipaux",2
"16","Petite enfance",9
"17","Propreté",1
"18","Santé",6
"19","Seniors",2
"20","Services municipaux",6
"21","Services non municipaux",3
"22","Sports",3
