LISTE 41 NB;;010;BONDY                         ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
N°;Année de MAJ;Identifiant de la parcelle;Contenance de la parcelle;Adresse de la parcelle;Nom du propriétaire;Nature du changement;Parcelle mère;Ancienne sub. fiscale;Contenance de l'ancienne sub. fiscale;Série tarif de l'ancienne sub. fiscale;Nature de culture de l'ancienne sub. fiscale;Classe de l'ancienne sub. fiscale;Culture spéciale de l'ancienne sub. fiscale;Revenu cadastral 80 de l'ancienne sub. fiscale;Nouvelle sub. fiscale;Contenance de la nouvelle sub. fiscale;Série tarif de la nouvelle sub. fiscale;Nature de culture de la nouvelle sub. fiscale;Classe de la nouvelle sub. fiscale;Culture spéciale de la nouvelle sub. fiscale;Revenu cadastral 80 de la nouvelle sub. fiscale;         
00001;2022;     A 0360;    0 01 58;0001 LEON JOUHAUX                  ;MBALA ZAMBU/EUGENE                           ;BRB  ;    ;  ;    0 01 58;A;AB;01;     ;    105,44;  ;    0 01 58;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00002;2022;     A 0361;    0 02 79;0001 LEON JOUHAUX                  ;ARUMUGASAMY/ATHAVAN                          ;BRB  ;    ;  ;    0 02 79;A;AB;01;     ;    186,19;  ;    0 02 79;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00003;2022;     A 0362;    0 02 30;0001 LEON JOUHAUX                  ;DIAKITE/BALLAN                               ;BRB  ;    ;  ;    0 02 30;A;AB;01;     ;    153,49;  ;    0 02 30;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00004;2022;     A 0364;    0 01 39;0001 LEON JOUHAUX                  ;EDMOND/JEAN-CHRISTOPHE                       ;BRB  ;    ;  ;    0 01 39;A;AB;01;     ;     92,76;  ;    0 01 39;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00005;2022;     A 0365;    0 01 39;0001 LEON JOUHAUX                  ;CHENOUF/ABDELHAMID                           ;BRB  ;    ;  ;    0 01 39;A;AB;01;     ;     92,76;  ;    0 01 39;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00006;2022;     A 0366;    0 01 84;0001 LEON JOUHAUX                  ;WALIKANNAGAE PERERA/SHERON                   ;BRB  ;    ;  ;    0 01 84;A;AB;01;     ;    122,79;  ;    0 01 84;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00007;2022;     A 0367;    0 01 85;0001 LEON JOUHAUX                  ;OUDJIDANE/AMAR                               ;BRB  ;    ;  ;    0 01 85;A;AB;01;     ;    123,46;  ;    0 01 85;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00008;2022;     A 0368;    0 02 03;0001 LEON JOUHAUX                  ;OUERDANE/DJEDJIGA                            ;BRB  ;    ;  ;    0 02 03;A;AB;01;     ;    135,47;  ;    0 02 03;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00009;2021;     A 0369;    0 01 86;0001 LEON JOUHAUX                  ;THAVANESAN/NADARAJAH                         ;MOD1 ;    ;  ;    0 01 86;A;S ;00;     ;      0,00;  ;    0 01 86;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00010;2022;     A 0370;    0 01 81;0001 LEON JOUHAUX                  ;ABDOU NGAZI/AHAMADA                          ;BRB  ;    ;  ;    0 01 81;A;AB;01;     ;    120,79;  ;    0 01 81;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00011;2022;     A 0371;    0 01 95;0001 LEON JOUHAUX                  ;LUBIN/JUNIOR                                 ;BRB  ;    ;  ;    0 01 95;A;AB;01;     ;    130,14;  ;    0 01 95;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00012;2022;     A 0372;    0 01 26;0001 LEON JOUHAUX                  ;KUENDAWAKU/LELO MAYENGO HERVE                ;BRB  ;    ;  ;    0 01 26;A;AB;01;     ;     84,09;  ;    0 01 26;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00013;2022;     A 0374;    0 01 28;0001 LEON JOUHAUX                  ;ALEV/ONUR                                    ;BRB  ;    ;  ;    0 01 28;A;AB;01;     ;     85,42;  ;    0 01 28;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00014;2022;     A 0375;    0 02 18;0001 LEON JOUHAUX                  ;AMANULLAH/FAIZAL RAHMAN                      ;BRB  ;    ;  ;    0 02 18;A;AB;01;     ;    145,48;  ;    0 02 18;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00015;2022;     A 0376;    0 01 92;0001 LEON JOUHAUX                  ;HAOUAT/KADDOUR                               ;BRB  ;    ;  ;    0 01 92;A;AB;01;     ;    128,13;  ;    0 01 92;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00016;2022;     A 0377;    0 01 96;0001 LEON JOUHAUX                  ;N'DIAYE/DEMBA                                ;BRB  ;    ;  ;    0 01 96;A;AB;01;     ;    130,80;  ;    0 01 96;A;AB;01;     ;    130,80;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00017;2022;     A 0378;    0 02 33;0001 LEON JOUHAUX                  ;SARI/HUSEYIN                                 ;BRB  ;    ;  ;    0 02 33;A;AB;01;     ;    155,49;  ;    0 02 33;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00018;2022;     A 0379;    0 02 44;0001 LEON JOUHAUX                  ;BENSMAINE/ILIES                              ;BRB  ;    ;  ;    0 02 44;A;AB;01;     ;    162,84;  ;    0 02 44;A;AB;01;     ;    162,84;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00019;2022;     A 0380;    0 02 53;0001 LEON JOUHAUX                  ;DIBASSY/OUSMANE                              ;BRB  ;    ;  ;    0 02 53;A;AB;01;     ;    168,84;  ;    0 02 53;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00020;2022;     A 0381;    0 02 05;0001 LEON JOUHAUX                  ;CHHUN/DAVY                                   ;BRB  ;    ;  ;    0 02 05;A;AB;01;     ;    136,81;  ;    0 02 05;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00021;2022;     A 0404;    0 01 48;0000 D AULNAY                      ;IMMOBILIERE 3F                               ;DA   ;0270;  ;    0 01 48;A;S ;00;     ;      0,00;  ;    0 01 48;A;T ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00022;2022;     B 0340;    0 08 36;0001 GERMAINE TILLION              ;FONCIERE RU 01 2014                          ;BRB  ;    ;  ;    0 08 36;A;AB;01;     ;    557,91;  ;    0 08 36;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00023;2022;     B 0352;    0 13 78;0000 JEAN LEBAS                    ;FONCIERE RU 01 2014                          ;BRB  ;    ;  ;    0 13 78;A;AB;01;     ;    919,62;  ;    0 13 78;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
